Feature,Importance
REGION_POPULATION_RELATIVE,1187
CREDIT_INCOME_RATIO,1072
DAYS_LAST_PHONE_CHANGE,955
DAYS_ID_PUBLISH,913
DAYS_REGISTRATION,908
DAYS_EMPLOYED,906
AMT_INCOME_TOTAL,746
AMT_REQ_CREDIT_BUREAU_YEAR,632
OBS_60_CNT_SOCIAL_CIRCLE,477
LANDAREA_MODE,405
BASEMENTAREA_MODE,394
NONLIVINGAREA_MODE,370
DEF_30_CNT_SOCIAL_CIRCLE,191
OCCUPATION_TYPE_Laborers,179
AMT_REQ_CREDIT_BUREAU_QRT,170
NAME_FAMILY_STATUS_Married,156
ELEVATORS_MODE,155
CODE_GENDER_M,148
ORGANIZATION_TYPE_Business_Entity_Type_3,131
AGE_GROUP__40__50_,130
AMT_REQ_CREDIT_BUREAU_MON,130
NAME_EDUCATION_TYPE_Secondary___secondary_special,120
NAME_EDUCATION_TYPE_Higher_education,116
CNT_CHILDREN,115
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,114
CIR_Q__5_16__84_737_,113
NAME_FAMILY_STATUS_Single___not_married,113
AGE_GROUP__50__60_,108
WEEKDAY_APPR_PROCESS_START_SATURDAY,108
WEEKDAY_APPR_PROCESS_START_MONDAY,106
NAME_CONTRACT_TYPE_Revolving_loans,102
FLAG_OWN_CAR_Y,100
WEEKDAY_APPR_PROCESS_START_TUESDAY,100
OCCUPATION_TYPE_Sales_staff,96
WALLSMATERIAL_MODE_Panel,95
CIR_Q__3_265__5_16_,95
AGE_GROUP__30__40_,93
WEEKDAY_APPR_PROCESS_START_THURSDAY,92
OCCUPATION_TYPE_Drivers,92
CIR_Q__2_019__3_265_,86
FLAG_OWN_REALTY_Y,84
FLAG_PHONE,83
NAME_HOUSING_TYPE_House___apartment,80
WALLSMATERIAL_MODE_Stone__brick,80
NAME_TYPE_SUITE_Unaccompanied,77
ORGANIZATION_TYPE_Self_employed,77
DEF_60_CNT_SOCIAL_CIRCLE,76
NAME_TYPE_SUITE_Family,75
OCCUPATION_TYPE_Core_staff,75
FLAG_WORK_PHONE,74
NAME_INCOME_TYPE_Commercial_associate,74
NAME_INCOME_TYPE_Working,69
NAME_FAMILY_STATUS_Widow,66
LIVE_CITY_NOT_WORK_CITY,63
NAME_FAMILY_STATUS_Separated,61
REG_CITY_NOT_LIVE_CITY,61
OCCUPATION_TYPE_Managers,59
NAME_EDUCATION_TYPE_Incomplete_higher,58
AGE_GROUP__60__100_,53
WEEKDAY_APPR_PROCESS_START_SUNDAY,51
OCCUPATION_TYPE_Security_staff,49
NAME_EDUCATION_TYPE_Lower_secondary,48
NAME_INCOME_TYPE_State_servant,47
WALLSMATERIAL_MODE_Wooden,45
NAME_TYPE_SUITE_Spouse__partner,44
FLAG_DOCUMENT_8,44
ORGANIZATION_TYPE_Other,41
NAME_HOUSING_TYPE_Municipal_apartment,41
NAME_HOUSING_TYPE_With_parents,39
OCCUPATION_TYPE_Low_skill_Laborers,36
OCCUPATION_TYPE_Cooking_staff,34
ORGANIZATION_TYPE_Business_Entity_Type_2,33
OCCUPATION_TYPE_Medicine_staff,33
OCCUPATION_TYPE_Cleaning_staff,32
ORGANIZATION_TYPE_Construction,31
AMT_REQ_CREDIT_BUREAU_WEEK,29
ORGANIZATION_TYPE_Trade__type_7,27
FLAG_DOCUMENT_16,27
FLAG_DOCUMENT_18,26
ORGANIZATION_TYPE_Transport__type_3,26
NAME_HOUSING_TYPE_Rented_apartment,24
FLAG_DOCUMENT_13,22
OCCUPATION_TYPE_High_skill_tech_staff,22
FLAG_DOCUMENT_11,22
ORGANIZATION_TYPE_Trade__type_3,20
ORGANIZATION_TYPE_Agriculture,19
FLAG_DOCUMENT_6,19
ORGANIZATION_TYPE_Medicine,18
NAME_INCOME_TYPE_Unemployed,18
ORGANIZATION_TYPE_Postal,18
FLAG_DOCUMENT_14,18
ORGANIZATION_TYPE_Transport__type_4,18
ORGANIZATION_TYPE_Realtor,17
ORGANIZATION_TYPE_Industry__type_9,17
LIVE_REGION_NOT_WORK_REGION,17
NAME_TYPE_SUITE_Other_B,16
ORGANIZATION_TYPE_Restaurant,16
ORGANIZATION_TYPE_Business_Entity_Type_1,16
ORGANIZATION_TYPE_Government,15
ORGANIZATION_TYPE_Trade__type_2,14
OCCUPATION_TYPE_Waiters_barmen_staff,14
FLAG_EMAIL,14
ORGANIZATION_TYPE_Industry__type_3,14
REG_REGION_NOT_LIVE_REGION,14
ORGANIZATION_TYPE_Military,13
ORGANIZATION_TYPE_Cleaning,13
WALLSMATERIAL_MODE_Mixed,13
ORGANIZATION_TYPE_Industry__type_1,12
FLAG_DOCUMENT_15,12
ORGANIZATION_TYPE_Kindergarten,11
WALLSMATERIAL_MODE_Others,10
AMT_REQ_CREDIT_BUREAU_DAY,9
ORGANIZATION_TYPE_Trade__type_1,9
ORGANIZATION_TYPE_Housing,9
HOUSETYPE_MODE_specific_housing,8
ORGANIZATION_TYPE_Security_Ministries,8
NAME_INCOME_TYPE_Pensioner,8
ORGANIZATION_TYPE_Industry__type_12,8
ORGANIZATION_TYPE_School,7
ORGANIZATION_TYPE_Trade__type_6,7
ORGANIZATION_TYPE_Legal_Services,7
ORGANIZATION_TYPE_Industry__type_11,7
ORGANIZATION_TYPE_Security,6
FLAG_DOCUMENT_9,5
ORGANIZATION_TYPE_Transport__type_2,5
NAME_HOUSING_TYPE_Office_apartment,5
EMERGENCYSTATE_MODE_Yes,5
ORGANIZATION_TYPE_Bank,5
OCCUPATION_TYPE_Secretaries,4
ORGANIZATION_TYPE_Hotel,4
NAME_TYPE_SUITE_Other_A,2
WALLSMATERIAL_MODE_Monolithic,1
ORGANIZATION_TYPE_Telecom,1
HOUSETYPE_MODE_terraced_house,1
ORGANIZATION_TYPE_Transport__type_1,1
FLAG_DOCUMENT_5,1
AMT_REQ_CREDIT_BUREAU_HOUR,0
OCCUPATION_TYPE_HR_staff,0
FLAG_DOCUMENT_7,0
FLAG_DOCUMENT_21,0
NAME_FAMILY_STATUS_Unknown,0
CODE_GENDER_XNA,0
FLAG_DOCUMENT_4,0
FLAG_DOCUMENT_2,0
ORGANIZATION_TYPE_XNA,0
NAME_TYPE_SUITE_Group_of_people,0
ORGANIZATION_TYPE_University,0
FLAG_DOCUMENT_20,0
FLAG_DOCUMENT_19,0
NAME_INCOME_TYPE_Student,0
ORGANIZATION_TYPE_Industry__type_4,0
FLAG_DOCUMENT_17,0
OCCUPATION_TYPE_IT_staff,0
ORGANIZATION_TYPE_Electricity,0
ORGANIZATION_TYPE_Industry__type_6,0
ORGANIZATION_TYPE_Industry__type_7,0
