Feature,VIF
CNT_CHILDREN,1.4208965380158334
AMT_INCOME_TOTAL,1.5022554868015232
REGION_POPULATION_RELATIVE,3.1959004950345173
DAYS_EMPLOYED,2.2364266703972384
DAYS_REGISTRATION,2.9989811085880755
DAYS_ID_PUBLISH,4.668143010079757
FLAG_WORK_PHONE,1.4897229384607902
FLAG_PHONE,1.587383063680768
FLAG_EMAIL,1.0735369790451808
REG_REGION_NOT_LIVE_REGION,1.1719047442660742
LIVE_REGION_NOT_WORK_REGION,1.131231836864694
REG_CITY_NOT_LIVE_CITY,1.2323829484194637
LIVE_CITY_NOT_WORK_CITY,1.3493845435923244
BASEMENTAREA_MODE,4.454263924052427
ELEVATORS_MODE,1.7463242920235644
LANDAREA_MODE,2.619331411971648
NONLIVINGAREA_MODE,1.2124449657181096
DEF_30_CNT_SOCIAL_CIRCLE,4.482448581516787
OBS_60_CNT_SOCIAL_CIRCLE,1.507821482278926
DEF_60_CNT_SOCIAL_CIRCLE,4.163588700298512
DAYS_LAST_PHONE_CHANGE,2.4099090507362906
FLAG_DOCUMENT_2,1.0003697722381555
FLAG_DOCUMENT_4,1.0002983465611894
FLAG_DOCUMENT_5,1.0258738470522457
FLAG_DOCUMENT_6,1.7128488174722452
FLAG_DOCUMENT_7,1.000551953341077
FLAG_DOCUMENT_8,1.1325494062619124
FLAG_DOCUMENT_9,1.0081028305492545
FLAG_DOCUMENT_10,1.0001569798880559
FLAG_DOCUMENT_11,1.0364858128523908
FLAG_DOCUMENT_12,1.0005623376911688
FLAG_DOCUMENT_13,1.0149724667013889
FLAG_DOCUMENT_14,1.0093228685857485
FLAG_DOCUMENT_15,1.00377926691347
FLAG_DOCUMENT_16,1.025313440585585
FLAG_DOCUMENT_17,1.0014492954187908
FLAG_DOCUMENT_18,1.0226006170571096
FLAG_DOCUMENT_19,1.0025802879427672
FLAG_DOCUMENT_20,1.0206874955383807
FLAG_DOCUMENT_21,1.0008006401198828
AMT_REQ_CREDIT_BUREAU_HOUR,1.0640085704925322
AMT_REQ_CREDIT_BUREAU_DAY,1.1162516958102504
AMT_REQ_CREDIT_BUREAU_WEEK,1.0789082012355138
AMT_REQ_CREDIT_BUREAU_MON,1.0854583161082212
AMT_REQ_CREDIT_BUREAU_QRT,1.1041347041783645
AMT_REQ_CREDIT_BUREAU_YEAR,2.0068688401695036
CREDIT_INCOME_RATIO,2.8640027656352522
